,Dip,BI,Kurtosis,DropOutRate,MeanNZ,DenPeak,Amplitude,gaussian_prob1,gaussian_prob2,gaussian_mean1,gaussian_mean2,gaussian_variance,mean,variance,unimodal_margin_quantile,unimodal_low_quantile,unimodal_high_quantile,IQR,q50,bim_thresh_down,bim_thresh_up,Category,dor_threshold
B2m,0.9909181612011086,0.18676950445437424,2.56943929167692,0.0,13.009842818768835,13.004839403236819,6.971128636120001,0.5778074380601343,0.422192561939866,12.90106034277362,13.158721149243974,0.4642784186285205,13.009842818768835,0.48076408851820895,0.25,12.62173750545,13.34504307445,0.7233055690000008,12.98754064235,-inf,inf,Unimodal,0.95
Klc4,0.0,2.624078089429741,0.5418746529247569,0.47041062801932365,3.51083600262535,0.03244811249833024,9.90037662516,0.8077556275588511,0.19224437244113304,0.6121949553001285,7.099284603863254,0.9490299480433775,1.8593014337575073,7.488368868366905,0.25,0.0,2.1650286097825,2.1650286097825,0.5973851694515,3.55874384738,4.49846724784,Bimodal,0.95
Atad1,0.0,2.297546686167994,-1.450904080902049,0.042270531400966184,5.5849540268196955,8.203296815789102,11.850754185,0.4388134711683335,0.5611865288316668,2.158884406023782,7.84325222731401,1.5073803286037524,5.348875052256061,9.470138868105215,0.25,2.3001729550275,8.1533695153375,5.85319656031,6.2361993526149995,4.1528439032,5.71765720406,Bimodal,0.95
Srxn1,0.0011241211621705327,2.538884263242524,-0.8938485691965892,0.6902173913043478,3.146476195091351,0.00691127636429667,10.0740960443,0.8955319889863157,0.10446801101368514,0.3036128366895708,6.72769194676932,0.598963535212225,3.146476195091351,7.578088943317799,0.25,0.962014991805,5.71971239303,4.757697401225,1.68241798732,3.4313879514,4.04171662386,Bimodal,
Nudt19,0.0,2.419897512404333,-1.4321291278964576,0.04891304347826087,5.702447292298594,7.976813323843734,10.8214675953,0.4286696812211702,0.5713303187788286,2.0924632116655055,7.922820745311295,1.4216951064730161,5.423523239957901,9.752894554445366,0.25,2.3385844336,8.1058357538525,5.7672513202525,6.58414882849,4.21904969352,5.67482401779,Bimodal,0.95
Bace2,0.9981326285244417,2.219177183741402,1.0130210908619457,0.947463768115942,2.34141177439823,-0.0022293148359204817,9.60322442036,0.9885267670043785,0.011473232995621517,0.04654636173920902,6.710979151156118,0.10228611283061527,2.34141177439823,6.41480430094107,0.25,0.791179173636,2.7895463031850003,1.9983671295490004,1.09138655059,3.22690978264,3.57029482482,Unimodal,
Igsf6,0.00017680776365647244,2.2407452083630335,0.3648626246980764,0.5320048309178744,2.8577705620032554,0.017809198661577375,10.9935334358,0.9032412452780337,0.09675875472196613,0.6244439997873918,7.993067331329532,0.9451087678702783,2.8577705620032554,7.82448138339732,0.25,1.011588792465,3.27507411556,2.263485323095,1.57808416219,4.17166006081,4.98296585806,Bimodal,
Tbxas1,0.0,2.2712177856386635,-1.363945622415999,0.09601449275362318,4.811257466844845,1.355392512266608,11.9987360745,0.5876938680946129,0.4123061319053887,1.7247022018713498,8.090372311258832,1.903450769479854,4.349307021658655,11.729351701552192,0.25,1.3037061512175,7.78694090519,6.4832347539725,3.10059155034,4.12189431632,5.90019440432,Bimodal,0.95
Asprv1,1.0,2.5021797059846445,90.11321926966403,0.9522946859903382,2.1625923814070127,-0.004773444363023072,8.92252843242,0.9909420289855072,0.00905797101449276,0.04156600021599267,6.842332785113998,0.06630678097459293,0.10316714862992392,0.4817380281400812,0.25,0.0,0.0,0.0,0.0,3.17243105692,4.21936876572,Discarded,0.95
Rcc1,0.0,2.446575842442251,-1.543041388579577,0.06219806763285024,5.079355201207119,1.9128697171711802,10.3559367734,0.5297575162016608,0.470242483798339,2.030556058997808,7.842181248195583,1.4056487747946877,4.763429122871169,9.825420753529382,0.25,1.8965575390825,7.8288484300725,5.93229089099,4.145294192425,4.24470123723,5.67844008442,Bimodal,0.95
Glipr2,0.0,2.6491947785928933,-0.890157991422607,0.26992753623188404,3.9213974614924187,0.3827995977886878,10.5043021767,0.7059524799163005,0.2940475200837039,0.9740897619749227,7.397590778454183,1.2204185573065778,2.8629043061258055,9.791513068842479,0.25,0.0,6.008987194037499,6.008987194037499,1.42628120175,3.79046113003,4.94275031888,Bimodal,0.95
Msantd4,0.0,1.9857395208965722,-0.1970272436090479,0.33997584541062803,3.6618116853833103,0.18579363971652096,10.9919706708,0.771066760250838,0.22893323974915344,1.0361703874457517,7.067246416325327,1.6283429706656063,2.4168841619106027,8.054025733697125,0.25,0.0,3.8806236803375,3.8806236803375,1.262716444445,3.5728213457,5.18520447106,Bimodal,0.95
