,Dip,BI,Kurtosis,DropOutRate,MeanNZ,DenPeak,Amplitude,gaussian_prob1,gaussian_prob2,gaussian_mean1,gaussian_mean2,gaussian_variance,mean,variance,unimodal_margin_quantile,unimodal_low_quantile,unimodal_high_quantile,IQR,q50,bim_thresh_down,bim_thresh_up,Category
Trdmt1,5.196782176253301e-06,2.3960162539250818,-0.8920976543496457,0.5362318840579711,3.1092947840132843,0.012704194810875924,9.88886505996,0.849193223360485,0.15080677663952707,0.5140681585486085,6.667131343233054,0.8445601915843243,3.109294784013284,7.100836039044129,0.25,0.9852453201552501,5.694638956765,4.70939363660975,1.76456630523,3.41318718068,4.28509442227,Bimodal
Il10ra,0.014398907075106049,2.2396899899851346,0.10669758254051587,0.6666666666666666,2.7288868508610635,0.006259962221171644,10.1088100298,0.9204575461890048,0.07954245381099573,0.3786788773567972,7.0537316006715285,0.6503338051215951,2.7288868508610635,6.785380058278515,0.25,0.9259249719807501,3.47062758626,2.5447026142792497,1.57766726464,3.60607132826,4.29133425687,Bimodal
Cs,9.985345643226395e-06,1.9500786385364761,-0.9229802441178907,0.007246376811594203,6.867747354965356,8.615120582309522,11.5689912219,0.3100602262034529,0.6899397737965464,3.1170092022633438,8.481204756834257,1.6186844524255932,6.867747354965356,7.493750690318477,0.25,4.44539071557,9.0004975312675,4.5551068156975,7.84669284705,4.66163474661,6.45275343196,Bimodal
Ap3s1,0.0,2.2307986743477564,-1.3795379310129552,0.09903381642512077,5.271509445993616,7.18010160856168,10.8307277597,0.45170878061496517,0.5482912193850337,1.6084362340536817,7.337171990035878,1.6333025835414041,5.271509445993616,8.087726471944755,0.25,2.30790932306,7.594584939734999,5.286675616675,6.110901076099999,3.57023659142,5.26619542823,Bimodal
Hdac6,5.1942831314044646e-05,2.513013885425635,-0.9732052975498626,0.5458937198067633,3.2642498347867517,-0.0006500631908409327,9.80618716772,0.8413462181283154,0.15865378187168214,0.4749188322367349,6.82457848721073,0.8521897266370194,3.2642498347867512,7.9218590281268755,0.25,0.99296182649775,5.866221112362499,4.87325928586475,1.756059855425,3.32209014592,4.3029842523,Bimodal
LOC108167848,0.9764741342044876,1.9515146919313866,2.56028487404177,0.625,2.1297930673346444,0.004027697597451474,10.0111210831,0.9401682550232818,0.059831744976719545,0.4133197026577186,6.853925734501051,0.6126988576432859,2.129793067334644,5.029372766000718,0.25,0.812068366995,2.03739534508,1.2253269780850002,1.22833660487,3.49412843071,4.23848479466,Unimodal
Pde7a,6.6458213144882095e-06,2.2386514023086437,-1.141942646725133,0.33997584541062803,3.5829614104168406,0.20541087544354397,11.4121772229,0.7415049879476657,0.2584950120523347,0.8614401041697063,6.6774168215952345,1.2937150180423032,3.582961410416841,7.4255898057859655,0.25,1.17397557367,6.18273054754,5.00875497387,2.38385679471,3.34731710275,4.66931478293,Bimodal
Tox2,0.6753440752832156,0.6091476238865698,50.41245363554342,0.6171497584541062,1.2067189070651656,0.008454634817446682,10.3477364591,0.9969814008005752,0.0030185991994248307,0.43976934090726727,7.8018875528457645,0.439595231756867,1.2067189070651656,0.6766676364230023,0.25,0.7405401534799999,1.4631958955750002,0.7226557420950003,1.066538317635,4.01439965439,4.84479611425,Unimodal
Hbp1,0.0,1.8978076587214996,-1.1336249789024067,0.02355072463768116,5.8642047141968145,7.7395970538816545,10.6445236465,0.3538094593318224,0.6461905406681768,2.3411970386567327,7.579437452385136,1.7417928363494968,5.864204714196815,7.403173158216708,0.25,3.28463734519,8.08946288979,4.804825544599999,6.63920538979,3.78124975576,5.7425279812,Bimodal
Scrn3,0.0,2.50437754298189,-1.1420802389169347,0.4148550724637681,3.407541892023193,0.037528434244319175,9.9873806164,0.7969376741873245,0.20306232581266934,0.7223534099606344,6.984236004061329,1.0117284297421143,3.407541892023193,7.764275332524128,0.25,1.12711969386,6.39740070121,5.2702810073499995,1.96038506522,3.46913987826,4.55298468468,Bimodal
